"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GDP","TOT","USD_CAP","A","2021",70181.12175,
"CHL","GDP","TOT","USD_CAP","A","2018",25496.431399,
"CHL","GDP","TOT","USD_CAP","A","2019",25517.794023,
"CHL","GDP","TOT","USD_CAP","A","2020",24606.968439,
"CHL","GDP","TOT","USD_CAP","A","2021",28105.05092,
"CHN","GDP","TOT","USD_CAP","A","2018",15466.329982,
"CHN","GDP","TOT","USD_CAP","A","2019",16624.520609,
"CHN","GDP","TOT","USD_CAP","A","2020",17176.865661,
"CHN","GDP","TOT","USD_CAP","A","2021",19334.953602,
"COL","GDP","TOT","USD_CAP","A","2018",15814.696386,
"COL","GDP","TOT","USD_CAP","A","2019",16484.76194,
"COL","GDP","TOT","USD_CAP","A","2020",15650.441829,"P"
"COL","GDP","TOT","USD_CAP","A","2021",17436.951542,"E"
"EST","GDP","TOT","USD_CAP","A","2018",36488.637421,
"EST","GDP","TOT","USD_CAP","A","2019",39068.183685,
"EST","GDP","TOT","USD_CAP","A","2020",39456.812096,
"EST","GDP","TOT","USD_CAP","A","2021",43494.06995,
"IND","GDP","TOT","USD_CAP","A","2018",6793.930695,
"IND","GDP","TOT","USD_CAP","A","2019",7201.553849,
"ISR","GDP","TOT","USD_CAP","A","2018",40247.088382,
"ISR","GDP","TOT","USD_CAP","A","2019",40950.3843,
"ISR","GDP","TOT","USD_CAP","A","2020",40223.17989,
"ISR","GDP","TOT","USD_CAP","A","2021",44060.518619,
"RUS","GDP","TOT","USD_CAP","A","2018",28821.242897,
"RUS","GDP","TOT","USD_CAP","A","2019",29967.119348,
"RUS","GDP","TOT","USD_CAP","A","2020",29819.046969,"E"
"SVN","GDP","TOT","USD_CAP","A","2018",39008.297051,
"SVN","GDP","TOT","USD_CAP","A","2019",42075.856414,
"SVN","GDP","TOT","USD_CAP","A","2020",40860.470781,
"SVN","GDP","TOT","USD_CAP","A","2021",43970.371468,
"ZAF","GDP","TOT","USD_CAP","A","2018",13191.637554,
"ZAF","GDP","TOT","USD_CAP","A","2019",13218.720394,
"ZAF","GDP","TOT","USD_CAP","A","2020",12293.489021,
"OECD","GDP","TOT","USD_CAP","A","2018",45191.892646,
"OECD","GDP","TOT","USD_CAP","A","2019",46667.515133,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45347.519328,"P"
"OECD","GDP","TOT","USD_CAP","A","2021",48957.140263,"E"
"OECDE","GDP","TOT","USD_CAP","A","2018",44168.184232,
"OECDE","GDP","TOT","USD_CAP","A","2019",46342.464637,"P"
"OECDE","GDP","TOT","USD_CAP","A","2020",44608.226872,"P"
"OECDE","GDP","TOT","USD_CAP","A","2021",47840.86149,"P"
"LVA","GDP","TOT","USD_CAP","A","2018",30891.884185,
"LVA","GDP","TOT","USD_CAP","A","2019",32938.582309,
"LVA","GDP","TOT","USD_CAP","A","2020",33008.225642,
"LVA","GDP","TOT","USD_CAP","A","2021",35150.054156,
"BRA","GDP","TOT","USD_CAP","A","2018",15088.873591,
"BRA","GDP","TOT","USD_CAP","A","2019",15424.038754,
"LTU","GDP","TOT","USD_CAP","A","2018",36376.535744,
"LTU","GDP","TOT","USD_CAP","A","2019",39950.760493,
"LTU","GDP","TOT","USD_CAP","A","2020",40124.47344,
"LTU","GDP","TOT","USD_CAP","A","2021",43688.013736,
"SAU","GDP","TOT","USD_CAP","A","2018",49189.778812,
"SAU","GDP","TOT","USD_CAP","A","2019",49055.641241,
"SAU","GDP","TOT","USD_CAP","A","2020",46378.343249,
"EA19","GDP","TOT","USD_CAP","A","2018",47629.160516,
"EA19","GDP","TOT","USD_CAP","A","2019",50334.188987,
"EA19","GDP","TOT","USD_CAP","A","2020",48236.550341,
"EA19","GDP","TOT","USD_CAP","A","2021",51306.975685,
"ARG","GDP","TOT","USD_CAP","A","2018",23290.675736,
"ARG","GDP","TOT","USD_CAP","A","2019",22997.391755,
"ARG","GDP","TOT","USD_CAP","A","2020",20769.015441,
"ARG","GDP","TOT","USD_CAP","A","2021",23627.366959,
"CRI","GDP","TOT","USD_CAP","A","2018",21312.71338,
"CRI","GDP","TOT","USD_CAP","A","2019",22738.413337,
"CRI","GDP","TOT","USD_CAP","A","2020",21763.124576,
"CRI","GDP","TOT","USD_CAP","A","2021",22700.254928,"E"
"BGR","GDP","TOT","USD_CAP","A","2018",23015.898745,
"BGR","GDP","TOT","USD_CAP","A","2019",25169.908002,
"BGR","GDP","TOT","USD_CAP","A","2020",25167.305528,
"BGR","GDP","TOT","USD_CAP","A","2021",26793.309833,"P"
"HRV","GDP","TOT","USD_CAP","A","2018",28887.862246,
"HRV","GDP","TOT","USD_CAP","A","2019",31572.729293,
"HRV","GDP","TOT","USD_CAP","A","2020",29690.20613,
"HRV","GDP","TOT","USD_CAP","A","2021",34022.550299,"P"
"CYP","GDP","TOT","USD_CAP","A","2018",40559.105442,
"CYP","GDP","TOT","USD_CAP","A","2019",43722.861866,
"CYP","GDP","TOT","USD_CAP","A","2020",40897.780537,"P"
"CYP","GDP","TOT","USD_CAP","A","2021",43317.904519,"P"
"MLT","GDP","TOT","USD_CAP","A","2018",45504.312819,
"MLT","GDP","TOT","USD_CAP","A","2019",48672.896446,
"MLT","GDP","TOT","USD_CAP","A","2020",44509.304787,
"MLT","GDP","TOT","USD_CAP","A","2021",48726.138109,
"ROU","GDP","TOT","USD_CAP","A","2018",29337.903177,
"ROU","GDP","TOT","USD_CAP","A","2019",32909.566163,
"ROU","GDP","TOT","USD_CAP","A","2020",33080.128126,"P"
"ROU","GDP","TOT","USD_CAP","A","2021",35946.765464,"P"
"MKD","GDP","TOT","USD_CAP","A","2018",16796.298138,"E"
"ZMB","GDP","TOT","USD_CAP","A","2018",3605.616666,
"ZMB","GDP","TOT","USD_CAP","A","2019",3616.910705,
"HKG","GDP","TOT","USD_CAP","A","2018",62520.543111,"E"
"HKG","GDP","TOT","USD_CAP","A","2019",62104.680133,"E"
"HKG","GDP","TOT","USD_CAP","A","2020",59263.581574,"E"
"MDG","GDP","TOT","USD_CAP","A","2018",1661.464269,"E"
"MDG","GDP","TOT","USD_CAP","A","2019",1692.09205,"E"
"MDG","GDP","TOT","USD_CAP","A","2020",1540.394877,"E"
"MAR","GDP","TOT","USD_CAP","A","2018",7923.067137,"E"
"MAR","GDP","TOT","USD_CAP","A","2019",8189.541003,"E"
"MAR","GDP","TOT","USD_CAP","A","2020",7687.793728,"E"
"SGP","GDP","TOT","USD_CAP","A","2018",100408.958643,
"SGP","GDP","TOT","USD_CAP","A","2019",102127.214909,
"SGP","GDP","TOT","USD_CAP","A","2020",98148.67364,
"EU27_2020","GDP","TOT","USD_CAP","A","2018",44673.301124,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",47448.209099,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",45842.156025,
"EU27_2020","GDP","TOT","USD_CAP","A","2021",48900.26597,
"ALB","GDP","TOT","USD_CAP","A","2018",13498.122566,
"ALB","GDP","TOT","USD_CAP","A","2019",14407.379403,
"ALB","GDP","TOT","USD_CAP","A","2020",14033.967211,"P"
"SRB","GDP","TOT","USD_CAP","A","2018",17717.89125,
"SRB","GDP","TOT","USD_CAP","A","2019",19404.882561,
"SRB","GDP","TOT","USD_CAP","A","2020",19547.72567,
"SRB","GDP","TOT","USD_CAP","A","2021",21588.39529,"P"
"GEO","GDP","TOT","USD_CAP","A","2018",14593.90772,
"GEO","GDP","TOT","USD_CAP","A","2019",15621.873636,
"GEO","GDP","TOT","USD_CAP","A","2020",14731.202573,
"CMR","GDP","TOT","USD_CAP","A","2018",3800.566288,
"CMR","GDP","TOT","USD_CAP","A","2019",3900.880855,
"CMR","GDP","TOT","USD_CAP","A","2020",3867.183996,
"SEN","GDP","TOT","USD_CAP","A","2018",3416.171427,
"SEN","GDP","TOT","USD_CAP","A","2019",3530.096494,
"SEN","GDP","TOT","USD_CAP","A","2020",3513.149951,
